,Day,Hour,Keypresses,keypresses_over_last_24_hours
672,2020-10-19,0,543,42418.0
673,2020-10-19,1,0,42418.0
674,2020-10-19,2,0,42418.0
675,2020-10-19,3,0,42418.0
676,2020-10-19,4,0,42418.0
677,2020-10-19,5,0,42418.0
678,2020-10-19,6,0,42418.0
679,2020-10-19,7,0,42418.0
680,2020-10-19,8,0,42418.0
681,2020-10-19,9,0,42148.0
682,2020-10-19,10,269,38664.0
683,2020-10-19,11,3419,36631.0
684,2020-10-19,12,1950,38581.0
685,2020-10-19,13,835,39145.0
686,2020-10-19,14,8291,42514.0
687,2020-10-19,15,2816,42272.0
688,2020-10-19,16,1978,42466.0
689,2020-10-19,17,5247,41889.0
690,2020-10-19,18,6278,44264.0
691,2020-10-19,19,2620,43177.0
692,2020-10-19,20,119,43039.0
693,2020-10-19,21,4208,47188.0
694,2020-10-19,22,4056,48828.0
695,2020-10-19,23,5528,48157.0
696,2020-10-20,0,0,47614.0
697,2020-10-20,1,0,47614.0
698,2020-10-20,2,0,47614.0
699,2020-10-20,3,0,47614.0
700,2020-10-20,4,0,47614.0
701,2020-10-20,5,0,47614.0
702,2020-10-20,6,0,47614.0
703,2020-10-20,7,0,47614.0
704,2020-10-20,8,0,47614.0
705,2020-10-20,9,0,47614.0
706,2020-10-20,10,0,47345.0
707,2020-10-20,11,64,43990.0
708,2020-10-20,12,3022,45062.0
709,2020-10-20,13,4293,48520.0
710,2020-10-20,14,5484,45713.0
711,2020-10-20,15,4535,47432.0
712,2020-10-20,16,6459,51913.0
713,2020-10-20,17,7147,53813.0
714,2020-10-20,18,2103,49638.0
715,2020-10-20,19,1326,48344.0
716,2020-10-20,20,0,48225.0
717,2020-10-20,21,1623,45640.0
718,2020-10-20,22,2496,44080.0
719,2020-10-20,23,2736,41288.0
720,2020-10-21,0,863,42151.0
721,2020-10-21,1,1862,44013.0
722,2020-10-21,2,0,44013.0
723,2020-10-21,3,0,44013.0
724,2020-10-21,4,0,44013.0
725,2020-10-21,5,0,44013.0
726,2020-10-21,6,0,44013.0
727,2020-10-21,7,0,44013.0
728,2020-10-21,8,0,44013.0
729,2020-10-21,9,0,44013.0
730,2020-10-21,10,0,44013.0
731,2020-10-21,11,5796,49745.0
732,2020-10-21,12,3692,50415.0
733,2020-10-21,13,1499,47621.0
734,2020-10-21,14,1688,43825.0
735,2020-10-21,15,6354,45644.0
736,2020-10-21,16,5102,44287.0
737,2020-10-21,17,2058,39198.0
738,2020-10-21,18,0,37095.0
739,2020-10-21,19,0,35769.0
740,2020-10-21,20,3559,39328.0
741,2020-10-21,21,2964,40669.0
742,2020-10-21,22,4134,42307.0
743,2020-10-21,23,2137,41708.0
744,2020-10-22,0,2567,43412.0
745,2020-10-22,1,1022,42572.0
746,2020-10-22,2,0,42572.0
747,2020-10-22,3,0,42572.0
748,2020-10-22,4,0,42572.0
749,2020-10-22,5,0,42572.0
750,2020-10-22,6,0,42572.0
751,2020-10-22,7,0,42572.0
752,2020-10-22,8,0,42572.0
753,2020-10-22,9,0,42572.0
754,2020-10-22,10,0,42572.0
