Date,steps,7_day_avg,30_day_avg,365_day_avg
2021-03-30,4431,8360.42857142857,7856.533333333334,5765.038356164384
2021-03-31,5144,8260.42857142857,7771.066666666667,5764.690410958904
2021-04-01,6454,8702.0,7871.866666666667,5772.942465753425
2021-04-02,3978,7357.714285714285,7690.1,5759.901369863013
2021-04-03,5623,5540.571428571428,7472.066666666667,5752.26301369863
2021-04-04,9992,6150.285714285715,7517.2,5769.567123287671
2021-04-05,7460,6154.571428571428,7399.066666666667,5761.265753424657
2021-04-06,5171,6260.285714285715,7275.133333333333,5751.923287671233
2021-04-07,2427,5872.142857142857,7300.2,5746.304109589041
2021-04-08,5283,5704.857142857143,7354.133333333333,5748.202739726027
2021-04-09,8589,6363.571428571428,7330.633333333333,5744.520547945205
2021-04-10,23883,8972.142857142857,7993.266666666666,5795.824657534246
2021-04-11,10859,9096.0,8099.033333333334,5794.698630136986
2021-04-12,4106,8616.857142857143,7781.266666666666,5786.942465753425
2021-04-13,8936,9154.714285714286,7855.866666666667,5783.772602739726
2021-04-14,7787,9920.42857142857,7884.833333333333,5795.413698630137
2021-04-15,4154,9759.142857142857,7733.833333333333,5800.027397260274
2021-04-16,8501,9746.57142857143,7774.3,5811.235616438356
2021-04-17,5666,7144.142857142857,7775.7,5820.367123287671
2021-04-18,9127,6896.714285714285,7824.566666666667,5845.372602739726
2021-04-19,8514,7526.428571428572,7715.633333333333,5868.698630136986
2021-04-20,2134,6554.714285714285,7569.966666666666,5874.545205479452
2021-04-21,9944,6862.857142857143,7719.433333333333,5901.723287671233
2021-04-22,7909,7399.285714285715,7672.133333333333,5913.898630136986
2021-04-23,13328,8088.857142857143,7921.6,5939.997260273973
2021-04-24,5159,8016.428571428572,7981.466666666666,5936.372602739726
2021-04-25,7925,7844.714285714285,7799.366666666667,5954.235616438356
2021-04-26,6108,7501.0,7391.533333333334,5957.898630136986
2021-04-27,14581,9279.142857142857,7686.766666666666,5984.682191780822
2021-04-28,12803,9687.57142857143,7865.866666666667,6006.235616438356
2021-04-29,24151,12007.857142857143,8523.2,6062.693150684931
2021-04-30,23144,13410.142857142857,9123.2,6115.375342465753
2021-05-01,21698,15772.857142857143,9631.333333333334,6149.413698630137
2021-05-02,14331,16688.0,9976.433333333332,6178.717808219178
2021-05-03,8938,17092.285714285714,10086.933333333332,6199.635616438356
2021-05-04,8945,16287.142857142857,10052.033333333333,6213.471232876713
2021-05-05,4943,15164.285714285714,9968.133333333333,6214.356164383562
2021-05-06,8245,12892.0,10070.6,6223.460273972602
2021-05-07,8263,10766.142857142857,10265.133333333333,6235.92602739726
2021-05-08,3064,8104.142857142857,10191.166666666666,6234.627397260274
2021-05-09,23451,9407.0,10686.566666666668,6288.353424657535
2021-05-10,4238,8735.57142857143,10031.733333333334,6281.624657534247
2021-05-11,16882,9869.42857142857,10232.5,6315.682191780822
2021-05-12,2430,9510.42857142857,10176.633333333333,6313.230136986302
2021-05-13,6253,9225.857142857143,10087.2,6320.128767123288
2021-05-14,2589,8415.285714285714,9913.933333333332,6314.556164383562
2021-05-15,15285,10161.142857142857,10284.966666666667,6344.854794520548
2021-05-16,4466,7449.0,10150.466666666667,6344.728767123288
2021-05-17,4135,7434.285714285715,10099.433333333332,6350.852054794521
2021-05-18,10047,6457.857142857143,10130.1,6368.175342465754
2021-05-19,5318,6870.428571428572,10023.566666666668,6373.797260273973
2021-05-20,5435,6753.571428571428,10133.6,6376.287671232877
2021-05-21,13742,8346.857142857143,10260.2,6393.756164383562
2021-05-22,15534,8382.42857142857,10514.366666666667,6411.304109589041
2021-05-23,7488,8814.142857142857,10319.7,6419.027397260274
2021-05-24,5098,8951.714285714286,10317.666666666666,6378.282191780822
2021-05-25,3807,8060.285714285715,10180.4,6350.027397260274
2021-05-26,5687,8113.0,10166.366666666667,6350.789041095891
2021-05-27,6866,8317.42857142857,9909.2,6357.4
2021-05-28,7348,7404.0,9727.366666666667,6365.805479452055
2021-05-29,14658,7278.857142857143,9410.933333333332,6386.684931506849
2021-05-30,4572,6862.285714285715,8791.866666666667,6380.504109589041
2021-05-31,14863,8257.285714285714,8564.033333333333,6403.909589041096
2021-06-01,10695,9241.285714285714,8442.833333333334,6421.18904109589
2021-06-02,9513,9787.857142857143,8462.0,6436.7945205479455
2021-06-03,6985,9804.857142857143,8396.666666666666,6439.46301369863
2021-06-04,6486,9681.714285714286,8448.1,6446.479452054795
2021-06-05,18300,10202.0,8783.266666666666,6482.139726027397
2021-06-06,13646,11498.285714285714,8962.7,6511.630136986301
2021-06-07,5595,10174.285714285714,9047.066666666668,6508.953424657534
2021-06-08,3439,9137.714285714286,8380.0,6507.739726027397
2021-06-09,6236,8669.57142857143,8446.6,6510.813698630137
